1 , b1 , g12 , gift121
2 , b1 , g12 , gift111
3 , b1 , g12 , gift174
4 , b1 , g12 , gift150
5 , b1 , g12 , gift24
6 , b1 , g12 , gift79
7 , b1 , g12 , gift29
8 , b1 , g12 , gift103
9 , b1 , g12 , gift25
10 , b1 , g12 , gift194
11 , b1 , g12 , gift37
12 , b1 , g12 , gift120
13 , b1 , g12 , gift94
14 , b1 , g12 , gift143
15 , b1 , g12 , gift87
16 , b1 , g12 , gift34
17 , b1 , g12 , gift19
18 , b1 , g12 , gift116
19 , b1 , g12 , gift122
20 , b1 , g12 , gift47
21 , b1 , g12 , gift40
22 , b1 , g12 , gift93
1 , b5 , g9 , gift121
2 , b5 , g9 , gift111
3 , b5 , g9 , gift174
4 , b5 , g9 , gift150
5 , b5 , g9 , gift24
6 , b5 , g9 , gift79
7 , b5 , g9 , gift29
8 , b5 , g9 , gift103
9 , b5 , g9 , gift25
10 , b5 , g9 , gift194
11 , b5 , g9 , gift37
12 , b5 , g9 , gift120
13 , b5 , g9 , gift94
14 , b5 , g9 , gift143
15 , b5 , g9 , gift87
16 , b5 , g9 , gift34
17 , b5 , g9 , gift19
18 , b5 , g9 , gift116
19 , b5 , g9 , gift122
20 , b5 , g9 , gift47
21 , b5 , g9 , gift40
22 , b5 , g9 , gift93
23 , b5 , g9 , gift64
24 , b5 , g9 , gift89
25 , b5 , g9 , gift165
26 , b5 , g9 , gift66
27 , b5 , g9 , gift123
28 , b5 , g9 , gift2
29 , b5 , g9 , gift197
30 , b5 , g9 , gift27
31 , b5 , g9 , gift41
32 , b5 , g9 , gift22
33 , b5 , g9 , gift126
34 , b5 , g9 , gift188
35 , b5 , g9 , gift125
36 , b5 , g9 , gift100
37 , b5 , g9 , gift99
1 , b6 , g6 , gift121
2 , b6 , g6 , gift111
3 , b6 , g6 , gift174
4 , b6 , g6 , gift150
5 , b6 , g6 , gift24
6 , b6 , g6 , gift79
7 , b6 , g6 , gift29
8 , b6 , g6 , gift103
9 , b6 , g6 , gift25
10 , b6 , g6 , gift194
11 , b6 , g6 , gift37
12 , b6 , g6 , gift120
13 , b6 , g6 , gift94
14 , b6 , g6 , gift143
15 , b6 , g6 , gift87
16 , b6 , g6 , gift34
17 , b6 , g6 , gift19
18 , b6 , g6 , gift116
19 , b6 , g6 , gift122
20 , b6 , g6 , gift47
21 , b6 , g6 , gift40
22 , b6 , g6 , gift93
23 , b6 , g6 , gift64
24 , b6 , g6 , gift89
1 , b7 , g15 , gift121
2 , b7 , g15 , gift111
3 , b7 , g15 , gift174
4 , b7 , g15 , gift150
5 , b7 , g15 , gift24
6 , b7 , g15 , gift79
7 , b7 , g15 , gift29
8 , b7 , g15 , gift103
9 , b7 , g15 , gift25
10 , b7 , g15 , gift194
11 , b7 , g15 , gift37
12 , b7 , g15 , gift120
13 , b7 , g15 , gift94
14 , b7 , g15 , gift143
15 , b7 , g15 , gift87
16 , b7 , g15 , gift34
17 , b7 , g15 , gift19
18 , b7 , g15 , gift116
19 , b7 , g15 , gift122
20 , b7 , g15 , gift47
1 , b8 , g3 , gift121
2 , b8 , g3 , gift111
3 , b8 , g3 , gift174
4 , b8 , g3 , gift150
5 , b8 , g3 , gift24
6 , b8 , g3 , gift79
7 , b8 , g3 , gift29
8 , b8 , g3 , gift103
9 , b8 , g3 , gift25
10 , b8 , g3 , gift194
11 , b8 , g3 , gift37
12 , b8 , g3 , gift120
13 , b8 , g3 , gift94
14 , b8 , g3 , gift143
15 , b8 , g3 , gift87
16 , b8 , g3 , gift34
17 , b8 , g3 , gift19
18 , b8 , g3 , gift116
19 , b8 , g3 , gift122
20 , b8 , g3 , gift47
21 , b8 , g3 , gift40
22 , b8 , g3 , gift93
23 , b8 , g3 , gift64
24 , b8 , g3 , gift89
25 , b8 , g3 , gift165
26 , b8 , g3 , gift66
27 , b8 , g3 , gift123
28 , b8 , g3 , gift2
29 , b8 , g3 , gift197
30 , b8 , g3 , gift27
31 , b8 , g3 , gift41
32 , b8 , g3 , gift22
33 , b8 , g3 , gift126
34 , b8 , g3 , gift188
1 , b11 , g11 , gift121
2 , b11 , g11 , gift111
3 , b11 , g11 , gift174
4 , b11 , g11 , gift150
5 , b11 , g11 , gift24
6 , b11 , g11 , gift79
7 , b11 , g11 , gift29
8 , b11 , g11 , gift103
9 , b11 , g11 , gift25
10 , b11 , g11 , gift194
11 , b11 , g11 , gift37
12 , b11 , g11 , gift120
13 , b11 , g11 , gift94
14 , b11 , g11 , gift143
15 , b11 , g11 , gift87
16 , b11 , g11 , gift34
17 , b11 , g11 , gift19
18 , b11 , g11 , gift116
19 , b11 , g11 , gift122
20 , b11 , g11 , gift47
21 , b11 , g11 , gift40
22 , b11 , g11 , gift93
23 , b11 , g11 , gift64
24 , b11 , g11 , gift89
25 , b11 , g11 , gift165
26 , b11 , g11 , gift66
27 , b11 , g11 , gift123
28 , b11 , g11 , gift2
29 , b11 , g11 , gift197
30 , b11 , g11 , gift27
31 , b11 , g11 , gift41
32 , b11 , g11 , gift22
33 , b11 , g11 , gift126
34 , b11 , g11 , gift188
35 , b11 , g11 , gift125
36 , b11 , g11 , gift100
37 , b11 , g11 , gift99
38 , b11 , g11 , gift198
39 , b11 , g11 , gift161
40 , b11 , g11 , gift134
41 , b11 , g11 , gift189
42 , b11 , g11 , gift80
43 , b11 , g11 , gift152
44 , b11 , g11 , gift20
45 , b11 , g11 , gift60
46 , b11 , g11 , gift10
47 , b11 , g11 , gift18
48 , b11 , g11 , gift178
49 , b11 , g11 , gift177
50 , b11 , g11 , gift74
51 , b11 , g11 , gift151
52 , b11 , g11 , gift16
1 , b12 , g13 , gift121
2 , b12 , g13 , gift111
3 , b12 , g13 , gift174
4 , b12 , g13 , gift150
5 , b12 , g13 , gift24
6 , b12 , g13 , gift79
7 , b12 , g13 , gift29
8 , b12 , g13 , gift103
9 , b12 , g13 , gift25
10 , b12 , g13 , gift194
11 , b12 , g13 , gift37
12 , b12 , g13 , gift120
13 , b12 , g13 , gift94
14 , b12 , g13 , gift143
15 , b12 , g13 , gift87
16 , b12 , g13 , gift34
17 , b12 , g13 , gift19
18 , b12 , g13 , gift116
19 , b12 , g13 , gift122
20 , b12 , g13 , gift47
21 , b12 , g13 , gift40
22 , b12 , g13 , gift93
23 , b12 , g13 , gift64
24 , b12 , g13 , gift89
25 , b12 , g13 , gift165
26 , b12 , g13 , gift66
27 , b12 , g13 , gift123
28 , b12 , g13 , gift2
29 , b12 , g13 , gift197
30 , b12 , g13 , gift27
31 , b12 , g13 , gift41
32 , b12 , g13 , gift22
33 , b12 , g13 , gift126
34 , b12 , g13 , gift188
35 , b12 , g13 , gift125
36 , b12 , g13 , gift100
37 , b12 , g13 , gift99
38 , b12 , g13 , gift198
39 , b12 , g13 , gift161
40 , b12 , g13 , gift134
41 , b12 , g13 , gift189
42 , b12 , g13 , gift80
43 , b12 , g13 , gift152
